lambda	class
7.208400000e-01	2
7.208800000e-01	2
7.209200000e-01	2
7.209600000e-01	2
7.210000000e-01	2
7.210400000e-01	2
7.210800000e-01	2
7.211200000e-01	2
7.211600000e-01	2
7.212000000e-01	2
7.212400000e-01	2
7.212800000e-01	2
7.213200000e-01	2
7.213600000e-01	2
7.214000000e-01	2
7.214400000e-01	2
7.214800000e-01	2
7.215200000e-01	2
7.215600000e-01	2
7.216000000e-01	2
7.216400000e-01	2
7.216800000e-01	2
7.217200000e-01	2
7.217600000e-01	2
7.218000000e-01	2
7.218400000e-01	2
7.218800000e-01	2
7.219200000e-01	2
7.219600000e-01	2
7.220000000e-01	2
7.220400000e-01	2
7.220800000e-01	2
7.221200000e-01	2
7.221600000e-01	2
7.222000000e-01	2
7.222400000e-01	2
7.222800000e-01	2
7.223200000e-01	2
7.223600000e-01	2
7.224000000e-01	2
7.224400000e-01	2
7.224800000e-01	2
7.225200000e-01	2
7.225600000e-01	2
7.226000000e-01	2
7.226400000e-01	2
7.226800000e-01	2
7.227200000e-01	2
7.227600000e-01	2
7.228000000e-01	2
7.228400000e-01	2
7.228800000e-01	2
7.229200000e-01	2
7.229600000e-01	2
7.230000000e-01	2
7.230400000e-01	2
7.230800000e-01	2
7.231200000e-01	2
7.231600000e-01	2
7.232000000e-01	2
7.232400000e-01	2
7.232800000e-01	2
7.233200000e-01	2
7.233600000e-01	2
7.234000000e-01	2
7.234400000e-01	2
7.234800000e-01	2
7.235200000e-01	2
7.235600000e-01	2
7.236000000e-01	2
7.236400000e-01	2
7.236800000e-01	2
7.237200000e-01	2
7.237600000e-01	2
7.238000000e-01	2
7.238400000e-01	2
7.238800000e-01	2
7.239200000e-01	2
7.239600000e-01	2
7.240000000e-01	2
7.240400000e-01	2
7.240800000e-01	2
7.241200000e-01	2
7.241600000e-01	2
7.242000000e-01	2
7.242400000e-01	2
7.242800000e-01	2
7.243200000e-01	2
7.243600000e-01	2
7.244000000e-01	2
7.244400000e-01	2
7.244800000e-01	2
7.245200000e-01	2
7.245600000e-01	2
