N	x	y
707	-28	3
708	11	-20
709	-29	4
710	-9	-10
711	25	-5
712	12	-12
713	11	-20
714	20	5
715	-30	4
716	-10	27
717	11	-21
718	-11	17
719	-14	19
720	22	-8
721	-20	2
722	26	-5
723	7	-21
724	-6	-10
725	26	-7
726	20	-9
727	20	6
728	-14	21
729	23	-10
730	19	4
731	6	-21
732	-9	-10
733	27	-7
734	-28	6
735	-30	3
736	6	-20
737	-30	3
738	27	-7
739	25	-4
740	-3	28
741	5	-21
742	17	5
743	5	-21
744	8	21
745	-15	-4
746	-29	6
747	-15	-5
748	-20	1
749	-21	13
750	-3	28
751	-21	1
752	-2	29
753	13	-19
754	8	22
755	5	-17
756	-23	4
757	8	-22
758	-15	-6
759	-13	22
760	-20	13
761	6	-20
762	-30	4
763	-2	-9
764	12	7
765	-11	-9
766	-30	6
767	8	-22
768	6	-22
769	14	-19
770	-4	-11
771	26	-4
772	28	-7
773	15	11
774	10	20
775	-31	3
776	-15	-7
777	-27	5
778	8	15
779	21	6
780	-11	22
781	-12	26
782	8	-22
783	23	-10
784	26	-8
785	24	-3
786	-4	28
787	-20	14
788	-26	2
789	28	-6
790	-1	-1
791	-5	28
792	-23	13
793	23	-11
794	-31	3
795	5	-22
796	-20	0
797	-30	7
798	8	-22
799	26	-9
800	21	7
801	-22	14
802	7	21
803	26	-4
804	9	19
805	29	-7
806	-30	8
807	-20	14
808	-11	-10
809	22	7
810	-13	26
811	24	-2
812	-13	26
813	-6	-11
814	-6	-11
815	29	-8
816	24	-2
817	29	-8
818	9	-21
819	11	20
820	13	-20
821	5	-23
822	11	-22
823	21	8
824	14	12
825	15	-19
826	-13	27
827	20	2
828	-32	3
829	11	-23
830	-4	29
831	15	11
832	26	-9
833	29	-6
834	15	-20
835	0	27
836	24	-2
837	-32	3
838	29	-6
839	12	13
840	-12	-9
841	0	27
842	7	-16
843	-23	14
844	20	-10
845	-13	28
846	11	-24
847	-14	28
848	-31	8
849	-16	-5
850	-31	6
851	-31	8
852	-32	8
853	11	-25
854	-14	29
855	16	-20
856	-17	-5
857	11	-15
858	-17	-5
859	8	23
860	-9	27
861	11	-25
862	-12	-9
863	29	-9
864	15	11
865	30	-7
866	29	-5
867	26	-10
868	5	-23
869	16	-21
870	21	0
871	25	-2
872	11	-26
873	0	27
874	21	0
875	14	10
876	0	27
877	5	-23
878	11	-27
