N	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x^2	y^2	x^2+y^2
592	-1.522223484e-01	-1.001008800e+00	-3.005485678e+00	-2.977866421e-01	-9.003489727e-01	-1.565183648e+00	2.292730796e-01	-1.307351071e+00	7.286226323e-01	3.605818617e-01	8.126895228e-01	-8.271899187e-01	1.942266396e-01	9.671313443e-01	-1.842546542e+00	-1.179738975e+00	-9.706579856e-02	-1.384876472e+00	-2.029423362e+00	-4.184468185e-01	-1.052803651e+00	9.290440950e-01	-2.937827232e-01	6.937711238e-01	-7.693026271e-01	-4.692529545e-01	-7.420042795e-01	1.834074289e+00	-2.334020093e-01	-5.875707067e-01	-1.066997028e-01	3.980946707e-01	-4.079093570e-01	-9.325629755e-01	1.230475377e+00	9.965502752e-02	-1.405575800e+00	-3.124743649e-01	-3.471569649e-01	2.328910423e-01	1.242546556e+00	8.473851209e-01	2.089931677e+00
593	-1.112795225e+00	8.506600554e-01	-1.975403562e+00	-5.076714603e-01	-9.003489727e-01	-1.565183648e+00	7.222312000e-01	-1.602224076e-01	7.286226323e-01	3.605818617e-01	8.126895228e-01	-8.271899187e-01	-8.069944562e-02	1.084417394e+00	-1.842546542e+00	-1.179738975e+00	-9.706579856e-02	-1.384876472e+00	-1.575505382e+00	-1.818952492e+00	-1.438546797e+00	5.439789213e-01	-2.937827232e-01	6.937711238e-01	-7.693026271e-01	-4.692529545e-01	4.261473371e-01	3.582947583e-01	3.440162461e-01	-1.118952596e+00	-1.068718721e+00	7.444635118e-01	-1.171370924e+00	1.688753331e-01	1.230475377e+00	9.965502752e-02	2.089310605e-01	-1.095666757e+00	-1.903453026e-01	-1.433500276e+00	1.035649306e+00	9.145623461e-01	1.950211652e+00
594	-5.952604706e-01	8.572699921e-01	-1.975403562e+00	-5.076714603e-01	-1.632946818e+00	-2.337173447e+00	7.222312000e-01	-1.602224076e-01	7.286226323e-01	3.605818617e-01	1.118271895e+00	-2.504258874e+00	-1.380022247e+00	1.966102722e+00	-1.842546542e+00	-1.179738975e+00	5.467229870e-02	-9.226757659e-01	-1.575505382e+00	-1.818952492e+00	-1.438546797e+00	5.439789213e-01	1.072060019e+00	6.127334240e-01	-7.693026271e-01	-4.692529545e-01	4.261473371e-01	3.582947583e-01	-5.530499450e-01	2.895748683e-01	-1.068718721e+00	7.444635118e-01	-1.171370924e+00	1.688753331e-01	1.230475377e+00	9.965502752e-02	2.089310605e-01	-1.095666757e+00	-1.903453026e-01	-1.433500276e+00	1.270850025e+00	1.362557728e+00	2.633407753e+00
595	-5.952604706e-01	8.572699921e-01	-7.516224152e-01	-1.817932183e+00	-1.632946818e+00	-2.337173447e+00	7.222312000e-01	-1.602224076e-01	-9.011019755e-01	-2.090249738e-02	1.118271895e+00	-2.504258874e+00	-2.353142303e+00	1.937306877e+00	-1.842546542e+00	-1.179738975e+00	4.042490880e-01	-3.855787249e-01	3.134073023e-02	-2.156347055e+00	1.996252758e-01	2.302011088e+00	-5.667221772e-01	3.684197321e-04	-8.339725786e-01	-5.771278264e-01	-1.297342504e+00	1.064529387e+00	-5.530499450e-01	2.895748683e-01	-1.068718721e+00	7.444635118e-01	-1.171370924e+00	1.688753331e-01	4.792943244e-01	-1.400290583e+00	1.296278625e+00	-2.451554411e-01	-1.835690087e-01	-1.544328992e+00	1.138505107e+00	1.879052753e+00	3.017557859e+00
596	-1.432103194e+00	-1.583875728e-01	-1.485672015e+00	-3.895579204e-01	-9.173516328e-01	-2.328892573e+00	-6.639384550e-01	2.863874172e-01	-9.011019755e-01	-2.090249738e-02	1.118271895e+00	-2.504258874e+00	-8.773059943e-01	3.718154382e+00	-9.008662192e-01	-1.358545964e+00	4.042490880e-01	-3.855787249e-01	3.134073023e-02	-2.156347055e+00	9.310230463e-02	1.770433987e+00	-5.667221772e-01	3.684197321e-04	8.768823764e-01	-8.379003265e-01	-1.297342504e+00	1.064529387e+00	-1.088152179e+00	1.426331851e+00	-7.624199185e-01	-2.915704187e-01	-1.171370924e+00	1.688753331e-01	-1.096275299e+00	2.010541096e-01	1.296278625e+00	-2.451554411e-01	5.177862606e-01	-1.466318329e+00	9.209111600e-01	2.089573852e+00	3.010485012e+00
597	-1.432103194e+00	-1.583875728e-01	-8.971418753e-01	-3.634974184e-01	-1.522891608e+00	-3.239258524e+00	3.064726405e-01	3.856682835e-01	-1.064081978e+00	5.742037558e-01	1.118271895e+00	-2.504258874e+00	-8.773059943e-01	3.718154382e+00	-1.320491563e+00	-1.201705649e+00	4.042490880e-01	-3.855787249e-01	-7.204426324e-01	-2.379322507e+00	-5.325118124e-01	1.673968706e+00	-5.667221772e-01	3.684197321e-04	-9.829639627e-01	-4.753211884e-01	-1.968909595e+00	3.643005653e-02	-1.088152179e+00	1.426331851e+00	-7.624199185e-01	-2.915704187e-01	-1.171370924e+00	1.688753331e-01	-6.149890429e-01	-1.020844318e+00	1.296278625e+00	-2.451554411e-01	-1.036822743e+00	-9.798354950e-01	1.128305747e+00	2.285903784e+00	3.414209531e+00
598	1.912749653e-03	-2.052416587e+00	1.347986322e-01	2.606118748e-01	-1.522891608e+00	-3.239258524e+00	3.064726405e-01	3.856682835e-01	-9.617172405e-02	4.418339008e-01	1.118271895e+00	-2.504258874e+00	-1.509243821e+00	3.739095235e+00	-2.306634143e+00	2.999527633e-01	4.042490880e-01	-3.855787249e-01	-7.204426324e-01	-2.379322507e+00	-5.257509451e-01	1.303864899e+00	-5.667221772e-01	3.684197321e-04	-1.284521914e+00	4.401892743e-01	-1.656365528e+00	1.364577044e+00	2.923377503e-01	5.205695267e-01	-7.624199185e-01	-2.915704187e-01	-1.171370924e+00	1.688753331e-01	-1.581508962e+00	-3.211209769e-01	1.655870067e-01	2.082204573e-02	-1.036822743e+00	-9.798354950e-01	1.130274518e+00	2.323655243e+00	3.453929761e+00
599	1.912749653e-03	-2.052416587e+00	-2.194796431e-01	5.056388616e-01	-1.205198184e+00	-2.765871177e+00	-1.265595331e+00	3.927651662e-02	-1.063262516e-01	7.746890286e-01	1.118271895e+00	-2.504258874e+00	-1.509243821e+00	3.739095235e+00	-1.144526448e+00	-1.560186659e-01	2.049111576e-01	9.418255184e-01	-5.897124859e-01	-1.597750897e+00	1.763355966e-01	2.272371411e+00	-5.667221772e-01	3.684197321e-04	-1.284521914e+00	4.401892743e-01	-7.750838729e-01	6.653478267e-01	2.923377503e-01	5.205695267e-01	-7.624199185e-01	-2.915704187e-01	-1.171370924e+00	1.688753331e-01	-1.988575834e-01	9.005964492e-01	1.655870067e-01	2.082204573e-02	-1.036822743e+00	-9.798354950e-01	7.062796768e-01	2.219619029e+00	2.925898706e+00
600	1.912749653e-03	-2.052416587e+00	-2.194796431e-01	5.056388616e-01	-1.323828608e+00	-1.587413006e+00	-1.265595331e+00	3.927651662e-02	-1.063262516e-01	7.746890286e-01	-1.004086275e-01	-2.867802988e+00	-9.446819389e-01	3.730653722e+00	-7.595930026e-01	-1.979594627e+00	2.049111576e-01	9.418255184e-01	7.086355540e-01	1.377564867e-01	-1.624775713e+00	1.794585428e+00	2.953134644e-01	-1.166604517e+00	-1.039981710e+00	-1.172594459e+00	-2.165611424e+00	6.879641238e-02	2.923377503e-01	5.205695267e-01	-7.624199185e-01	-2.915704187e-01	-4.595773325e-02	-1.411622674e+00	8.151279688e-01	-4.422885054e-02	7.552328138e-01	-2.020977848e-01	7.212830161e-01	-1.296349061e+00	8.179916124e-01	2.229487364e+00	3.047478977e+00
601	-1.105422132e+00	-6.297646830e-01	-2.194796431e-01	5.056388616e-01	3.636509083e-01	-3.319184131e+00	-1.265595331e+00	3.927651662e-02	-1.063262516e-01	7.746890286e-01	-1.442776170e-01	-2.973909031e+00	-9.446819389e-01	3.730653722e+00	-2.002405926e-01	-2.143640422e+00	-9.401190374e-01	-3.806619740e-01	-1.007619055e+00	8.465368868e-01	-1.624775713e+00	1.794585428e+00	4.987032525e-02	4.705565163e-01	3.711706219e-01	2.646424528e-01	-3.086491822e-01	6.331954253e-01	2.923377503e-01	5.205695267e-01	-7.624199185e-01	-2.915704187e-01	-4.595773325e-02	-1.411622674e+00	8.151279688e-01	-4.422885054e-02	7.552328138e-01	-2.020977848e-01	7.212830161e-01	-1.296349061e+00	5.583598287e-01	2.423725767e+00	2.982085596e+00
