q	p	scale
5	68	1.698339668e-01
5	69	1.660332066e-01
5	70	1.697339468e-01
5	71	1.699339868e-01
5	72	1.682336467e-01
5	73	1.676335267e-01
5	74	1.722344469e-01
5	75	1.619323865e-01
5	76	1.661332266e-01
5	77	1.655331066e-01
5	78	1.661332266e-01
5	79	1.692338468e-01
5	80	1.697339468e-01
5	81	1.649329866e-01
5	82	1.660332066e-01
5	83	1.639327866e-01
5	84	1.678335667e-01
5	85	1.688337668e-01
5	86	1.660332066e-01
5	87	1.691338268e-01
5	88	1.685337067e-01
5	89	1.653330666e-01
5	90	1.682336467e-01
5	91	1.698339668e-01
5	92	1.691338268e-01
5	93	1.636327265e-01
5	94	1.674334867e-01
5	95	1.645329066e-01
5	96	1.652330466e-01
5	97	1.711342268e-01
5	98	1.647329466e-01
5	99	1.651330266e-01
5	100	1.698339668e-01
6	1	1.726345269e-01
6	2	1.642328466e-01
6	3	1.632326465e-01
6	4	1.646329266e-01
6	5	1.656331266e-01
6	6	2.096419284e-01
6	7	1.666333267e-01
6	8	1.692338468e-01
6	9	1.641328266e-01
6	10	1.653330666e-01
6	11	1.595319064e-01
6	12	1.676335267e-01
6	13	1.689337868e-01
6	14	1.712342468e-01
6	15	1.695339068e-01
6	16	1.697339468e-01
6	17	1.678335667e-01
6	18	1.593318664e-01
6	19	1.632326465e-01
6	20	1.674334867e-01
6	21	1.691338268e-01
6	22	1.669333867e-01
6	23	1.685337067e-01
6	24	1.715343069e-01
6	25	1.647329466e-01
6	26	1.632326465e-01
6	27	1.700340068e-01
6	28	1.664332867e-01
6	29	1.652330466e-01
6	30	1.649329866e-01
6	31	1.687337467e-01
6	32	1.651330266e-01
6	33	1.639327866e-01
6	34	1.686337267e-01
6	35	1.704340868e-01
6	36	1.719343869e-01
6	37	1.659331866e-01
6	38	1.689337868e-01
6	39	1.638327666e-01
6	40	1.649329866e-01
6	41	1.678335667e-01
6	42	1.651330266e-01
6	43	1.687337467e-01
6	44	1.654330866e-01
6	45	1.673334667e-01
6	46	1.658331666e-01
6	47	1.650330066e-01
6	48	1.670334067e-01
6	49	1.670334067e-01
6	50	1.718343669e-01
6	51	1.676335267e-01
6	52	1.680336067e-01
6	53	1.697339468e-01
6	54	1.588317664e-01
6	55	1.638327666e-01
6	56	1.680336067e-01
6	57	1.679335867e-01
6	58	1.671334267e-01
6	59	1.633326665e-01
6	60	1.665333067e-01
6	61	1.661332266e-01
6	62	1.688337668e-01
6	63	1.672334467e-01
6	64	1.700340068e-01
6	65	1.672334467e-01
6	66	1.647329466e-01
6	67	1.677335467e-01
6	68	1.640328066e-01
6	69	1.624324865e-01
6	70	1.672334467e-01
