t	<x^1>
526	5.648000000e-05
527	6.008000000e-05
528	5.772000000e-05
529	5.892000000e-05
530	5.716000000e-05
531	5.750000000e-05
532	5.246000000e-05
533	5.462000000e-05
534	5.098000000e-05
535	4.510000000e-05
536	4.184000000e-05
537	4.064000000e-05
538	4.062000000e-05
539	4.450000000e-05
540	4.932000000e-05
541	4.904000000e-05
542	5.148000000e-05
543	5.134000000e-05
544	5.320000000e-05
545	5.568000000e-05
546	5.892000000e-05
547	6.036000000e-05
548	5.726000000e-05
549	5.650000000e-05
550	5.630000000e-05
551	5.816000000e-05
552	5.880000000e-05
553	5.932000000e-05
554	6.384000000e-05
555	5.858000000e-05
556	5.994000000e-05
557	6.176000000e-05
558	6.112000000e-05
559	6.246000000e-05
560	6.232000000e-05
561	6.786000000e-05
562	6.874000000e-05
563	7.236000000e-05
564	7.040000000e-05
565	7.394000000e-05
566	7.724000000e-05
567	7.604000000e-05
568	8.322000000e-05
569	8.604000000e-05
570	8.768000000e-05
571	8.798000000e-05
572	8.932000000e-05
573	8.858000000e-05
574	8.164000000e-05
575	8.192000000e-05
576	8.012000000e-05
577	7.676000000e-05
578	7.332000000e-05
579	7.022000000e-05
580	7.294000000e-05
581	7.426000000e-05
582	6.864000000e-05
583	6.188000000e-05
584	6.476000000e-05
585	6.784000000e-05
586	6.736000000e-05
587	6.580000000e-05
588	6.622000000e-05
589	6.758000000e-05
590	6.510000000e-05
591	6.672000000e-05
592	6.656000000e-05
593	6.700000000e-05
594	6.456000000e-05
595	6.308000000e-05
596	6.660000000e-05
597	6.770000000e-05
598	6.582000000e-05
599	6.692000000e-05
600	6.680000000e-05
601	6.392000000e-05
602	6.110000000e-05
603	5.968000000e-05
604	5.782000000e-05
605	5.120000000e-05
606	5.262000000e-05
607	5.272000000e-05
608	5.368000000e-05
609	5.620000000e-05
610	5.284000000e-05
611	5.702000000e-05
612	5.856000000e-05
613	5.442000000e-05
614	5.550000000e-05
615	4.954000000e-05
616	4.948000000e-05
617	5.020000000e-05
618	4.974000000e-05
619	4.772000000e-05
620	5.154000000e-05
621	5.314000000e-05
622	5.172000000e-05
623	5.258000000e-05
624	5.532000000e-05
625	5.260000000e-05
626	4.776000000e-05
627	5.318000000e-05
628	5.250000000e-05
629	4.860000000e-05
630	5.232000000e-05
631	4.842000000e-05
632	4.768000000e-05
633	4.962000000e-05
634	4.894000000e-05
635	4.716000000e-05
636	4.398000000e-05
637	4.042000000e-05
638	4.240000000e-05
639	4.306000000e-05
640	4.506000000e-05
641	4.370000000e-05
642	4.242000000e-05
643	4.288000000e-05
644	4.346000000e-05
645	4.386000000e-05
646	4.468000000e-05
647	4.244000000e-05
648	5.214000000e-05
649	4.924000000e-05
650	5.688000000e-05
651	5.416000000e-05
652	4.536000000e-05
653	4.690000000e-05
654	4.892000000e-05
655	5.106000000e-05
656	5.030000000e-05
657	5.668000000e-05
658	5.944000000e-05
659	6.044000000e-05
660	6.078000000e-05
661	6.352000000e-05
662	6.474000000e-05
663	6.568000000e-05
664	6.214000000e-05
665	6.002000000e-05
666	5.782000000e-05
667	6.066000000e-05
668	7.030000000e-05
669	6.888000000e-05
670	6.624000000e-05
671	6.224000000e-05
672	6.222000000e-05
673	6.184000000e-05
674	6.276000000e-05
675	6.066000000e-05
676	6.206000000e-05
677	6.384000000e-05
678	6.096000000e-05
679	5.892000000e-05
680	6.114000000e-05
681	5.648000000e-05
682	5.470000000e-05
683	5.380000000e-05
684	4.882000000e-05
685	5.370000000e-05
686	5.510000000e-05
687	5.206000000e-05
688	5.118000000e-05
689	5.286000000e-05
690	5.272000000e-05
691	5.294000000e-05
692	5.852000000e-05
693	5.746000000e-05
694	5.620000000e-05
695	4.886000000e-05
696	4.924000000e-05
697	4.592000000e-05
698	4.634000000e-05
699	4.942000000e-05
700	4.390000000e-05
701	3.754000000e-05
702	3.462000000e-05
703	2.948000000e-05
704	2.780000000e-05
705	2.606000000e-05
706	2.422000000e-05
707	2.872000000e-05
708	2.574000000e-05
709	2.416000000e-05
710	3.204000000e-05
711	2.970000000e-05
712	3.102000000e-05
713	2.922000000e-05
714	3.318000000e-05
715	3.364000000e-05
716	3.134000000e-05
717	2.700000000e-05
718	2.580000000e-05
719	2.548000000e-05
720	2.124000000e-05
721	2.058000000e-05
722	1.898000000e-05
723	2.030000000e-05
724	1.238000000e-05
725	1.110000000e-05
726	3.960000000e-06
727	1.540000000e-06
728	1.180000000e-06
729	-4.980000000e-06
730	-7.940000000e-06
731	-5.100000000e-06
732	-5.300000000e-06
733	-2.140000000e-06
734	-1.520000000e-06
735	-3.860000000e-06
736	-2.500000000e-06
737	4.340000000e-06
738	8.220000000e-06
739	2.520000000e-06
740	4.420000000e-06
741	8.820000000e-06
742	1.042000000e-05
743	9.600000000e-06
744	1.026000000e-05
745	1.546000000e-05
746	1.778000000e-05
747	1.560000000e-05
748	1.562000000e-05
749	1.390000000e-05
750	1.532000000e-05
751	1.718000000e-05
752	1.696000000e-05
753	1.878000000e-05
754	1.970000000e-05
755	2.208000000e-05
756	1.944000000e-05
757	1.522000000e-05
758	1.448000000e-05
759	1.374000000e-05
760	1.478000000e-05
761	1.198000000e-05
762	1.644000000e-05
763	1.974000000e-05
764	1.718000000e-05
765	1.834000000e-05
766	1.062000000e-05
767	7.880000000e-06
768	1.240000000e-05
769	1.270000000e-05
770	1.242000000e-05
771	1.518000000e-05
772	1.562000000e-05
773	1.846000000e-05
774	1.832000000e-05
775	1.450000000e-05
776	1.574000000e-05
777	1.572000000e-05
778	1.520000000e-05
779	1.628000000e-05
780	1.896000000e-05
781	1.918000000e-05
782	2.110000000e-05
783	2.212000000e-05
784	2.008000000e-05
785	2.272000000e-05
786	2.028000000e-05
787	2.066000000e-05
788	2.202000000e-05
789	1.728000000e-05
790	1.860000000e-05
791	1.964000000e-05
792	1.910000000e-05
793	1.650000000e-05
794	2.122000000e-05
795	2.066000000e-05
796	2.148000000e-05
797	1.962000000e-05
798	2.020000000e-05
799	2.022000000e-05
800	1.922000000e-05
801	1.558000000e-05
802	7.060000000e-06
803	6.780000000e-06
804	9.440000000e-06
805	1.748000000e-05
806	1.912000000e-05
807	1.684000000e-05
808	1.602000000e-05
809	1.704000000e-05
810	1.054000000e-05
811	1.370000000e-05
812	1.392000000e-05
813	1.700000000e-05
814	1.790000000e-05
815	1.098000000e-05
816	1.376000000e-05
817	1.608000000e-05
818	2.406000000e-05
819	1.882000000e-05
820	2.448000000e-05
821	2.624000000e-05
822	2.210000000e-05
823	2.086000000e-05
824	1.844000000e-05
825	1.920000000e-05
826	1.422000000e-05
827	1.756000000e-05
828	1.420000000e-05
829	1.298000000e-05
830	1.550000000e-05
831	1.306000000e-05
832	9.840000000e-06
833	9.140000000e-06
834	1.202000000e-05
835	1.420000000e-05
836	1.860000000e-05
837	1.580000000e-05
838	1.436000000e-05
839	1.316000000e-05
840	8.540000000e-06
841	7.500000000e-06
842	7.500000000e-06
843	1.002000000e-05
844	1.304000000e-05
845	1.064000000e-05
846	9.160000000e-06
847	1.060000000e-05
848	1.018000000e-05
849	9.440000000e-06
850	8.280000000e-06
851	8.860000000e-06
852	3.760000000e-06
853	1.176000000e-05
854	1.410000000e-05
855	1.552000000e-05
856	1.660000000e-05
857	1.994000000e-05
858	1.846000000e-05
859	1.698000000e-05
860	1.432000000e-05
861	9.580000000e-06
862	1.070000000e-05
863	8.500000000e-06
864	1.398000000e-05
865	1.736000000e-05
866	2.054000000e-05
867	2.186000000e-05
868	1.952000000e-05
869	2.222000000e-05
870	2.228000000e-05
871	2.268000000e-05
872	2.780000000e-05
873	2.852000000e-05
874	2.876000000e-05
875	2.794000000e-05
876	3.042000000e-05
877	3.160000000e-05
878	3.706000000e-05
879	3.894000000e-05
880	4.058000000e-05
881	3.964000000e-05
882	4.068000000e-05
883	3.726000000e-05
884	3.542000000e-05
885	3.160000000e-05
886	2.916000000e-05
887	2.724000000e-05
888	3.056000000e-05
889	3.188000000e-05
890	3.026000000e-05
891	3.648000000e-05
892	4.122000000e-05
893	4.130000000e-05
894	3.986000000e-05
895	4.238000000e-05
896	4.628000000e-05
897	4.122000000e-05
898	4.074000000e-05
899	4.204000000e-05
900	4.024000000e-05
901	3.924000000e-05
902	4.286000000e-05
903	4.836000000e-05
904	5.260000000e-05
905	5.060000000e-05
906	5.188000000e-05
907	5.078000000e-05
908	5.382000000e-05
909	5.662000000e-05
910	5.338000000e-05
911	5.214000000e-05
912	5.374000000e-05
913	5.516000000e-05
914	5.686000000e-05
915	6.008000000e-05
916	5.448000000e-05
917	5.584000000e-05
918	5.292000000e-05
919	5.800000000e-05
920	5.994000000e-05
921	5.872000000e-05
922	6.026000000e-05
923	5.538000000e-05
924	5.160000000e-05
925	5.458000000e-05
926	5.350000000e-05
927	5.594000000e-05
928	5.658000000e-05
929	5.834000000e-05
930	6.008000000e-05
931	6.110000000e-05
932	6.132000000e-05
933	5.850000000e-05
934	5.564000000e-05
935	5.302000000e-05
936	5.810000000e-05
937	6.256000000e-05
938	6.118000000e-05
939	5.958000000e-05
940	5.784000000e-05
941	5.528000000e-05
942	5.844000000e-05
943	5.904000000e-05
944	6.192000000e-05
945	6.780000000e-05
946	6.624000000e-05
947	6.298000000e-05
948	6.222000000e-05
949	6.294000000e-05
