E=3.084400000e+01
x	y
-9.836000000e-01	1.284540553e-01
-9.834000000e-01	1.300117358e-01
-9.832000000e-01	1.315690955e-01
-9.830000000e-01	1.331261306e-01
-9.828000000e-01	1.346828371e-01
-9.826000000e-01	1.362392113e-01
-9.824000000e-01	1.377952494e-01
-9.822000000e-01	1.393509474e-01
-9.820000000e-01	1.409063016e-01
-9.818000000e-01	1.424613081e-01
-9.816000000e-01	1.440159630e-01
-9.814000000e-01	1.455702627e-01
-9.812000000e-01	1.471242031e-01
-9.810000000e-01	1.486777804e-01
-9.808000000e-01	1.502309909e-01
-9.806000000e-01	1.517838307e-01
-9.804000000e-01	1.533362960e-01
-9.802000000e-01	1.548883829e-01
-9.800000000e-01	1.564400877e-01
-9.798000000e-01	1.579914064e-01
-9.796000000e-01	1.595423353e-01
-9.794000000e-01	1.610928704e-01
-9.792000000e-01	1.626430081e-01
-9.790000000e-01	1.641927445e-01
-9.788000000e-01	1.657420757e-01
-9.786000000e-01	1.672909980e-01
-9.784000000e-01	1.688395074e-01
-9.782000000e-01	1.703876002e-01
-9.780000000e-01	1.719352727e-01
-9.778000000e-01	1.734825208e-01
-9.776000000e-01	1.750293409e-01
-9.774000000e-01	1.765757291e-01
-9.772000000e-01	1.781216815e-01
-9.770000000e-01	1.796671945e-01
-9.768000000e-01	1.812122641e-01
-9.766000000e-01	1.827568866e-01
-9.764000000e-01	1.843010582e-01
-9.762000000e-01	1.858447749e-01
-9.760000000e-01	1.873880331e-01
-9.758000000e-01	1.889308289e-01
-9.756000000e-01	1.904731585e-01
-9.754000000e-01	1.920150182e-01
-9.752000000e-01	1.935564040e-01
-9.750000000e-01	1.950973122e-01
-9.748000000e-01	1.966377390e-01
-9.746000000e-01	1.981776806e-01
-9.744000000e-01	1.997171332e-01
-9.742000000e-01	2.012560930e-01
-9.740000000e-01	2.027945562e-01
-9.738000000e-01	2.043325190e-01
-9.736000000e-01	2.058699776e-01
-9.734000000e-01	2.074069282e-01
-9.732000000e-01	2.089433670e-01
-9.730000000e-01	2.104792902e-01
-9.728000000e-01	2.120146941e-01
-9.726000000e-01	2.135495749e-01
-9.724000000e-01	2.150839287e-01
-9.722000000e-01	2.166177517e-01
-9.720000000e-01	2.181510403e-01
-9.718000000e-01	2.196837906e-01
-9.716000000e-01	2.212159988e-01
-9.714000000e-01	2.227476611e-01
-9.712000000e-01	2.242787738e-01
-9.710000000e-01	2.258093331e-01
-9.708000000e-01	2.273393352e-01
-9.706000000e-01	2.288687764e-01
-9.704000000e-01	2.303976528e-01
-9.702000000e-01	2.319259607e-01
-9.700000000e-01	2.334536963e-01
-9.698000000e-01	2.349808559e-01
-9.696000000e-01	2.365074356e-01
-9.694000000e-01	2.380334318e-01
-9.692000000e-01	2.395588406e-01
-9.690000000e-01	2.410836583e-01
-9.688000000e-01	2.426078811e-01
-9.686000000e-01	2.441315053e-01
-9.684000000e-01	2.456545270e-01
-9.682000000e-01	2.471769427e-01
-9.680000000e-01	2.486987484e-01
-9.678000000e-01	2.502199404e-01
-9.676000000e-01	2.517405150e-01
-9.674000000e-01	2.532604684e-01
-9.672000000e-01	2.547797969e-01
-9.670000000e-01	2.562984968e-01
-9.668000000e-01	2.578165642e-01
-9.666000000e-01	2.593339954e-01
